algorithm,seed,silhouette,mutation_rate,pop_size,inertia_weight,n_particles,evaporation_rate,n_ants
PSO,7,0.15716725642069235,,,0.9,20.0,,
PSO,8,0.35952038374773243,,,0.9,20.0,,
PSO,9,0.3517216470471972,,,0.9,20.0,,
PSO,10,0.2767085256758085,,,0.9,20.0,,
PSO,11,0.345778642711103,,,0.9,20.0,,
PSO,12,0.26212135364923467,,,0.9,20.0,,
PSO,13,0.32300711003129123,,,0.9,20.0,,
PSO,14,0.3209119107272519,,,0.9,20.0,,
PSO,15,0.18999988430209144,,,0.9,20.0,,
PSO,16,0.35949221143242605,,,0.9,20.0,,
PSO,17,0.2662503398255691,,,0.9,20.0,,
PSO,18,0.26370754838966326,,,0.9,20.0,,
PSO,19,0.34821448749904,,,0.9,20.0,,
PSO,20,0.035551694099355824,,,0.9,20.0,,
PSO,21,0.3596957982799809,,,0.9,20.0,,
PSO,22,0.34549961767490317,,,0.9,20.0,,
PSO,23,0.3547615319065408,,,0.9,20.0,,
PSO,24,0.342467872507897,,,0.9,20.0,,
PSO,25,-1.0,,,0.9,20.0,,
PSO,26,-1.0,,,0.9,20.0,,
PSO,27,0.29499934632312474,,,0.9,20.0,,
PSO,28,-1.0,,,0.9,20.0,,
PSO,29,0.3581246184631111,,,0.9,20.0,,
PSO,0,0.32300711003129123,,,0.9,30.0,,
PSO,1,0.3581088052361604,,,0.9,30.0,,
PSO,2,0.3547206958932256,,,0.9,30.0,,
PSO,3,0.2629183549666783,,,0.9,30.0,,
PSO,4,0.17417881387865083,,,0.9,30.0,,
PSO,5,0.29334687122480724,,,0.9,30.0,,
PSO,6,0.3429069272113551,,,0.9,30.0,,
PSO,7,0.3490481388267236,,,0.9,30.0,,
PSO,8,0.16149668696501812,,,0.9,30.0,,
PSO,9,0.35835719136299565,,,0.9,30.0,,
PSO,10,0.16884443414203842,,,0.9,30.0,,
PSO,11,0.21627770043380987,,,0.9,30.0,,
PSO,12,0.3516036284076893,,,0.9,30.0,,
PSO,13,0.34348944183109653,,,0.9,30.0,,
PSO,14,0.3564378247388707,,,0.9,30.0,,
PSO,15,0.35414586453176433,,,0.9,30.0,,
PSO,16,0.35641364869944825,,,0.9,30.0,,
PSO,17,0.34172240551743116,,,0.9,30.0,,
PSO,18,0.33547192894004574,,,0.9,30.0,,
PSO,19,0.3524397099955378,,,0.9,30.0,,
PSO,20,0.35486781130673495,,,0.9,30.0,,
PSO,21,0.33547192894004574,,,0.9,30.0,,
PSO,22,0.31054744437563647,,,0.9,30.0,,
PSO,23,0.31152360181900524,,,0.9,30.0,,
PSO,24,0.3019329240015789,,,0.9,30.0,,
